id,product_id,created,tag,shop_id,price,price_diff
49323376,213048,2021-05-03 10:52:45,normal,199,579,-6
49285690,213048,2021-05-01 10:52:32,normal,199,585,-2
49219930,213048,2021-04-29 10:56:14,normal,199,587,-2
49133600,213048,2021-04-26 10:59:36,normal,199,589,-3
49105580,213048,2021-04-24 11:12:05,normal,199,592,6
49074279,213048,2021-04-23 10:52:55,normal,199,586,-2
49032231,213048,2021-04-22 10:38:58,normal,199,588,-5
48924234,213048,2021-04-19 11:01:39,normal,199,593,-10
48894027,213048,2021-04-17 13:30:12,normal,199,603,-27
48845623,213048,2021-04-16 16:58:29,normal,281,630,1
48443781,213048,2021-04-15 12:50:38,normal,281,629,-1
48111527,213048,2021-04-14 12:55:32,normal,281,630,5
46851518,213048,2021-04-10 12:40:56,normal,281,625,-75
46763965,213048,2021-04-10 07:01:40,normal,281,700,69
46547901,213048,2021-04-09 12:59:33,normal,58,631,3
46454375,213048,2021-04-09 07:01:32,normal,281,628,53
46240853,213048,2021-04-08 12:51:17,normal,58,575,17
46074557,213048,2021-04-07 22:30:16,normal,281,558,558
45729571,213048,2021-04-06 21:10:23,normal,,,
43746954,213048,2021-03-30 12:40:13,normal,281,560,-1
43240113,213048,2021-03-28 12:41:41,normal,281,561,-1
42751962,213048,2021-03-26 12:42:38,normal,281,562,7
42246783,213048,2021-03-24 12:47:39,normal,281,555,-1
41998854,213048,2021-03-23 12:48:42,normal,281,556,3
41099858,213048,2021-03-19 12:42:53,normal,281,553,1
40647144,213048,2021-03-17 12:49:33,normal,281,552,1
40403011,213048,2021-03-16 12:46:07,normal,281,551,3
39969696,213048,2021-03-14 12:47:08,normal,281,548,-4
39959801,213048,2021-03-14 11:38:21,normal,281,552,23
39761859,213048,2021-03-13 10:48:49,normal,199,529,1
39576514,213048,2021-03-12 11:14:14,normal,199,528,-2
38837568,213048,2021-03-08 10:43:47,normal,199,530,1
38538298,213048,2021-03-06 10:50:57,normal,199,529,-5
38383354,213048,2021-03-05 10:39:07,normal,199,534,-6
38236430,213048,2021-03-04 11:11:23,normal,199,540,5
38085747,213048,2021-03-03 10:52:33,normal,199,535,8
37935325,213048,2021-03-02 10:46:56,normal,199,527,6
37680935,213048,2021-02-28 10:41:08,normal,199,521,-7
37576522,213048,2021-02-27 10:59:32,normal,199,528,-1
37322667,213048,2021-02-25 10:45:58,normal,199,529,3
37201986,213048,2021-02-24 10:47:40,normal,199,526,-2
37102037,213048,2021-02-23 11:10:01,normal,199,528,-1
36874017,213048,2021-02-20 10:38:57,normal,199,529,7
36807130,213048,2021-02-19 10:57:12,normal,199,522,-3
36743874,213048,2021-02-18 10:50:21,normal,199,525,-5
36692098,213048,2021-02-17 11:21:37,normal,199,530,3
36576448,213048,2021-02-13 10:44:13,normal,199,527,-1
36521343,213048,2021-02-12 14:29:28,normal,199,528,-6
36184465,213048,2021-02-11 10:52:27,normal,199,534,-3
36035903,213048,2021-02-10 11:12:19,normal,199,537,-1
35945835,213048,2021-02-06 10:39:45,normal,199,538,2
35916027,213048,2021-02-05 10:53:40,normal,199,536,-2
35888994,213048,2021-02-04 11:48:49,normal,199,538,2
35858338,213048,2021-02-03 11:31:57,normal,199,536,-7
35831022,213048,2021-02-02 12:43:16,normal,199,543,14
35826649,213048,2021-02-02 10:54:19,normal,281,529,23
35740869,213048,2021-01-30 11:05:44,normal,199,506,6
35669948,213048,2021-01-28 10:39:00,normal,199,500,1
35636087,213048,2021-01-27 10:55:11,normal,199,499,3
35564965,213048,2021-01-24 10:54:07,normal,199,496,-7
35547995,213048,2021-01-23 10:52:12,normal,199,503,2
35522476,213048,2021-01-22 11:29:01,normal,199,501,-6
35492683,213048,2021-01-21 10:50:04,normal,199,507,5
35463805,213048,2021-01-20 11:01:08,normal,199,502,3
35393627,213048,2021-01-17 10:44:47,normal,199,499,-3
35354012,213048,2021-01-15 11:19:22,normal,199,502,1
35323205,213048,2021-01-14 10:56:44,normal,199,501,4
35294633,213048,2021-01-13 10:58:19,normal,199,497,1
35225870,213048,2021-01-10 10:45:55,normal,199,496,-2
35210721,213048,2021-01-09 11:25:56,normal,199,498,-4
35183034,213048,2021-01-08 10:40:05,normal,199,502,-3
35024742,213048,2021-01-01 10:05:44,normal,199,505,-5
34910872,213048,2020-12-25 10:41:32,normal,199,510,-5
34890273,213048,2020-12-24 10:46:51,normal,199,515,10
34860349,213048,2020-12-23 10:44:31,normal,199,505,-6
34778689,213048,2020-12-19 10:45:55,normal,199,511,-2
34751828,213048,2020-12-18 10:48:31,normal,199,513,2
34721497,213048,2020-12-17 12:50:52,normal,199,511,-7
34621853,213048,2020-12-13 10:43:47,normal,199,518,3
34606482,213048,2020-12-12 10:41:15,normal,199,515,-2
34549221,213048,2020-12-10 10:58:55,normal,199,517,-1
34444212,213048,2020-12-06 10:43:13,normal,199,518,-2
34402044,213048,2020-12-04 10:38:03,normal,199,520,-1
34371367,213048,2020-12-03 10:38:44,normal,199,521,-1
34338047,213048,2020-12-02 10:51:59,normal,199,522,-1
34224631,213048,2020-11-29 10:44:58,normal,199,523,1
34210280,213048,2020-11-28 10:42:33,normal,199,522,-7
34176725,213048,2020-11-27 10:39:35,normal,199,529,2
34131689,213048,2020-11-26 10:40:24,normal,199,527,-4
34098746,213048,2020-11-25 11:06:50,normal,199,531,-2
33961784,213048,2020-11-20 10:39:53,normal,199,533,-3
33930361,213048,2020-11-19 10:46:50,normal,199,536,-6
33899865,213048,2020-11-18 10:42:35,normal,199,542,7
33825358,213048,2020-11-15 10:56:14,normal,199,535,3
33811060,213048,2020-11-14 10:39:51,normal,199,532,1
33779874,213048,2020-11-13 10:40:43,normal,199,531,-4
33737790,213048,2020-11-12 10:44:50,normal,199,535,-3
33701393,213048,2020-11-11 10:59:03,normal,199,538,-2
33652474,213048,2020-11-10 10:48:15,normal,199,540,-14
33593766,213048,2020-11-07 11:10:07,normal,199,554,-4
33566777,213048,2020-11-06 10:40:47,normal,199,558,-4
33539323,213048,2020-11-05 10:39:27,normal,199,562,6
33441785,213048,2020-11-01 10:41:22,normal,199,556,6
33425484,213048,2020-10-31 10:51:01,normal,199,550,6
33279576,213048,2020-10-26 10:46:33,normal,199,544,-1
33253375,213048,2020-10-24 11:02:51,normal,199,545,-2
33203382,213048,2020-10-22 10:46:56,normal,199,547,-2
33180446,213048,2020-10-21 17:39:59,normal,199,549,20
33113796,213048,2020-10-18 10:39:40,normal,199,529,-16
33101131,213048,2020-10-17 10:46:40,normal,199,545,7
33080804,213048,2020-10-16 11:30:44,normal,199,538,-1
33063648,213048,2020-10-15 22:42:16,normal,199,539,-13
33056386,213048,2020-10-15 17:47:59,normal,199,552,-4
33032482,213048,2020-10-14 22:41:25,normal,199,556,-5
32999918,213048,2020-10-13 10:46:44,normal,199,561,1
32968549,213048,2020-10-11 12:30:04,normal,199,560,-10
32879289,213048,2020-10-07 12:49:16,normal,281,570,-1
32856684,213048,2020-10-06 12:45:32,normal,281,571,-13
32770776,213048,2020-10-02 12:43:54,normal,281,584,3
32747118,213048,2020-10-01 16:48:40,normal,281,581,-4
32707312,213048,2020-09-30 12:58:07,normal,281,585,-2
32683909,213048,2020-09-29 16:41:14,normal,281,587,-2
32618817,213048,2020-09-26 12:54:33,normal,281,589,12
32597824,213048,2020-09-25 16:38:06,normal,281,577,3
32564858,213048,2020-09-24 18:02:54,normal,281,574,18
32491778,213048,2020-09-22 12:39:26,normal,58,556,3
32418554,213048,2020-09-18 12:48:56,normal,281,553,-1
32309260,213048,2020-09-13 16:51:05,normal,281,554,-2
32274896,213048,2020-09-11 12:52:18,normal,58,556,4
32254484,213048,2020-09-10 16:38:05,normal,281,552,1
32224584,213048,2020-09-09 12:56:11,normal,281,551,2
32197152,213048,2020-09-08 12:45:58,normal,281,549,2
32148592,213048,2020-09-05 12:54:12,normal,281,547,7
32129969,213048,2020-09-04 12:48:25,normal,281,540,3
32098865,213048,2020-09-03 12:48:55,normal,281,537,-3
32045228,213048,2020-09-01 16:39:25,normal,281,540,-1
31927467,213048,2020-08-27 10:38:26,normal,199,541,1
31835996,213048,2020-08-23 10:49:18,normal,199,540,7
31799473,213048,2020-08-21 10:44:15,normal,199,533,-4
31770492,213048,2020-08-20 10:37:21,normal,199,537,-1
31686514,213048,2020-08-16 10:49:55,normal,199,538,-2
31671326,213048,2020-08-15 10:40:32,normal,199,540,-3
31647696,213048,2020-08-14 10:42:32,normal,199,543,-2
31623099,213048,2020-08-13 10:36:47,normal,199,545,1
31598255,213048,2020-08-12 10:46:44,normal,199,544,2
31533413,213048,2020-08-09 10:55:20,normal,199,542,-9
31504747,213048,2020-08-07 13:43:36,normal,199,551,-1
31480761,213048,2020-08-06 13:37:40,normal,199,552,5
31455983,213048,2020-08-05 13:44:19,normal,199,547,-3
31365180,213048,2020-08-01 10:36:56,normal,199,550,-1
31341394,213048,2020-07-31 12:47:34,normal,199,551,-9
31340927,213048,2020-07-31 12:43:10,normal,281,560,-2
31316471,213048,2020-07-30 12:52:10,normal,281,562,5
31290291,213048,2020-07-29 12:40:22,normal,281,557,-10
31264244,213048,2020-07-28 12:39:29,normal,281,567,4
31212567,213048,2020-07-25 16:44:21,normal,281,563,4
31209823,213048,2020-07-25 10:45:48,normal,281,559,5
31184009,213048,2020-07-24 10:42:35,normal,199,554,-4
31158324,213048,2020-07-23 10:46:22,normal,199,558,-1
31131274,213048,2020-07-22 10:46:54,normal,199,559,-2
31070175,213048,2020-07-19 10:41:26,normal,199,561,-1
31056954,213048,2020-07-18 10:48:22,normal,199,562,-6
31035945,213048,2020-07-17 10:43:43,normal,199,568,1
31012009,213048,2020-07-16 10:44:50,normal,199,567,-5
30985638,213048,2020-07-15 10:41:40,normal,199,572,7
30930510,213048,2020-07-12 10:38:52,normal,199,565,-7
30919564,213048,2020-07-11 10:43:56,normal,199,572,4
30893204,213048,2020-07-10 10:40:45,normal,199,568,16
30862826,213048,2020-07-09 10:51:32,normal,199,552,-23
30838919,213048,2020-07-08 10:42:45,normal,199,575,4
30809171,213048,2020-07-07 10:55:31,normal,199,571,-11
30756446,213048,2020-07-04 10:44:38,normal,199,582,-7
30743552,213048,2020-07-03 22:37:05,normal,199,589,7
30729255,213048,2020-07-03 10:49:50,normal,199,582,7
30698694,213048,2020-07-02 10:47:35,normal,199,575,-3
30679402,213048,2020-07-01 22:37:22,normal,199,578,-1
30669444,213048,2020-07-01 12:46:07,normal,199,579,-14
30668944,213048,2020-07-01 12:40:45,normal,281,593,-3
30646247,213048,2020-06-30 12:53:11,normal,281,596,-1
30594380,213048,2020-06-27 12:48:46,normal,281,597,9
30571675,213048,2020-06-26 12:39:28,normal,281,588,3
30539241,213048,2020-06-25 12:52:52,normal,281,585,-6
30507350,213048,2020-06-24 12:51:00,normal,281,591,-1
30481250,213048,2020-06-23 12:40:45,normal,281,592,5
30388547,213048,2020-06-18 16:48:46,normal,281,587,-12
30353685,213048,2020-06-17 12:51:30,normal,281,599,19
30331207,213048,2020-06-17 02:51:25,normal,281,580,52
30276966,213048,2020-06-15 02:56:36,normal,1752,528,12
30092461,213048,2020-06-08 12:45:50,normal,1752,516,-9
30077934,213048,2020-06-07 12:49:15,normal,1752,525,-2
30050847,213048,2020-06-06 02:40:23,normal,1752,527,1
30043400,213048,2020-06-05 12:48:07,normal,1752,526,-2
29998559,213048,2020-06-04 02:48:11,normal,1752,528,3
29965825,213048,2020-06-03 02:47:03,normal,1752,525,-6
29920339,213048,2020-06-01 02:53:02,normal,1752,531,-4
29916398,213048,2020-05-31 12:45:53,normal,1752,535,-3
29888621,213048,2020-05-30 02:51:50,normal,1752,538,-1
29882530,213048,2020-05-29 12:46:13,normal,1752,539,-3
29836674,213048,2020-05-28 02:44:22,normal,1752,542,1
29812337,213048,2020-05-27 02:46:26,normal,1752,541,7
29755975,213048,2020-05-24 02:41:22,normal,1752,534,-5
29723814,213048,2020-05-22 02:38:40,normal,1752,539,-6
29704570,213048,2020-05-21 02:47:07,normal,1752,545,-7
29675458,213048,2020-05-20 02:50:31,normal,1752,552,-3
29650603,213048,2020-05-19 02:49:32,normal,1752,555,-2
29614202,213048,2020-05-17 02:46:48,normal,1752,557,7
29598010,213048,2020-05-16 02:41:32,normal,1752,550,-3
29571184,213048,2020-05-15 02:51:04,normal,1752,553,6
29545167,213048,2020-05-14 02:56:22,normal,1752,547,-6
29535304,213048,2020-05-13 13:31:34,normal,1752,553,-75
29534354,213048,2020-05-13 12:37:35,normal,281,628,2
29519319,213048,2020-05-13 05:50:15,normal,281,626,69
29459173,213048,2020-05-10 12:38:45,normal,1752,557,1
29446442,213048,2020-05-09 12:41:52,normal,1752,556,3
29404531,213048,2020-05-08 03:01:34,normal,1752,553,3
29376118,213048,2020-05-07 03:02:37,normal,1752,550,-6
29345345,213048,2020-05-06 02:54:22,normal,1752,556,-13
29329860,213048,2020-05-05 12:49:21,normal,1752,569,7
29260957,213048,2020-05-02 02:40:13,normal,1752,562,7
29251369,213048,2020-05-01 12:43:28,normal,1752,555,-11
29199803,213048,2020-04-30 02:44:30,normal,1752,566,-1
29189000,213048,2020-04-29 12:53:23,normal,1752,567,-9
29140725,213048,2020-04-28 02:51:32,normal,1752,576,-3
29113472,213048,2020-04-26 12:37:45,normal,1752,579,4
29087098,213048,2020-04-25 02:40:26,normal,1752,575,-6
