id,product_id,manufacturer_id,cat_id,root_cat_id,date,hits,clicks,last_modified
26306362,211757,722,11573,101,2021-01-06,5,2,2021-01-07 06:51:34.532583
27855113,211757,722,11573,101,2021-01-03,0,2,2021-02-11 16:07:00.294370
26166693,211757,722,11573,101,2020-12-31,1,1,2021-01-01 05:11:00.959660
26137898,211757,722,11573,101,2020-12-29,1,1,2020-12-30 05:20:00.117788
26023875,211757,722,11573,101,2020-12-21,2,0,2020-12-22 05:09:20.514554
25998468,211757,722,11573,101,2020-12-19,1,0,2020-12-20 05:13:53.031417
25970506,211757,722,11573,101,2020-12-17,1,3,2020-12-18 05:15:42.990999
25955304,211757,722,11573,101,2020-12-16,1,0,2020-12-17 05:18:38.155352
25904729,211757,722,11573,101,2020-12-13,1,1,2020-12-14 05:23:14.821238
25871867,211757,722,11573,101,2020-12-11,1,0,2020-12-12 05:18:21.218960
25855274,211757,722,11573,101,2020-12-10,1,2,2020-12-11 05:22:58.839780
25592300,211757,722,11573,101,2020-11-27,2,0,2020-11-28 07:53:01.409336
25448182,211757,722,11573,101,2020-11-22,2,0,2020-11-23 07:46:44.076998
25411237,211757,722,11573,101,2020-11-21,1,0,2020-11-22 08:09:53.368580
25355991,211757,722,11573,101,2020-11-20,2,0,2020-11-21 06:58:43.907396
25261516,211757,722,11573,101,2020-11-18,4,1,2020-11-19 05:35:34.086443
25238692,211757,722,11573,101,2020-11-17,3,0,2020-11-18 05:38:42.783376
25196715,211757,722,11573,101,2020-11-16,3,1,2020-11-17 05:41:03.758113
25110735,211757,722,11573,101,2020-11-14,4,1,2020-11-15 05:24:01.795571
25085008,211757,722,11573,101,2020-11-13,1,0,2020-11-14 05:59:55.967781
25027242,211757,722,11573,101,2020-11-12,7,1,2020-11-13 05:20:16.759258
24995686,211757,722,11573,101,2020-11-11,2,0,2020-11-12 06:17:39.898852
24962080,211757,722,11573,101,2020-11-10,1,0,2020-11-11 06:13:29.481551
24910496,211757,722,11573,101,2020-11-09,3,0,2020-11-10 05:30:15.672784
24883563,211757,722,11573,101,2020-11-08,1,0,2020-11-09 05:54:58.067073
24838762,211757,722,11573,101,2020-11-07,2,0,2020-11-08 05:28:04.899583
24803799,211757,722,11573,101,2020-11-06,2,2,2020-11-07 05:25:09.176162
24731768,211757,722,11573,101,2020-11-04,2,0,2020-11-05 05:27:59.305636
24695877,211757,722,11573,101,2020-11-03,2,0,2020-11-04 05:29:30.418920
24659356,211757,722,11573,101,2020-11-02,2,0,2020-11-03 05:32:21.886706
24622030,211757,722,11573,101,2020-11-01,2,0,2020-11-02 05:30:53.672883
24593657,211757,722,11573,101,2020-10-31,1,1,2020-11-01 05:33:57.195725
24549147,211757,722,11573,101,2020-10-30,4,0,2020-10-31 05:13:22.237732
24517184,211757,722,11573,101,2020-10-29,3,1,2020-10-30 05:19:55.739072
24480078,211757,722,11573,101,2020-10-28,4,0,2020-10-29 05:16:31.847337
24457396,211757,722,11573,101,2020-10-27,1,1,2020-10-28 05:45:44.198889
24421608,211757,722,11573,101,2020-10-26,1,1,2020-10-27 05:42:26.113095
24370156,211757,722,11573,101,2020-10-25,4,2,2020-10-26 05:19:03.922290
24347100,211757,722,11573,101,2020-10-24,1,0,2020-10-25 05:34:16.399055
24273718,211757,722,11573,101,2020-10-22,2,1,2020-10-23 05:25:29.011744
24235322,211757,722,11573,101,2020-10-21,3,3,2020-10-22 05:19:30.371684
24199343,211757,722,11573,101,2020-10-20,3,1,2020-10-21 05:23:41.472114
24132324,211757,722,11573,101,2020-10-18,2,0,2020-10-19 05:25:00.887748
24061861,211757,722,11573,101,2020-10-16,5,1,2020-10-17 05:10:49.923164
24027544,211757,722,11573,101,2020-10-15,8,1,2020-10-16 05:08:32.793857
24002477,211757,722,11573,101,2020-10-14,2,1,2020-10-15 05:23:37.867826
23975627,211757,722,11573,101,2020-10-13,1,1,2020-10-14 05:37:17.512499
23907169,211757,722,11573,101,2020-10-11,1,0,2020-10-12 05:35:47.395981
23862770,211757,722,11573,101,2020-10-10,4,0,2020-10-11 05:12:37.231662
23842200,211757,722,11573,101,2020-10-09,1,1,2020-10-10 05:32:19.234830
23810096,211757,722,11573,101,2020-10-08,1,1,2020-10-09 05:32:57.268911
23762209,211757,722,11573,101,2020-10-07,5,1,2020-10-08 05:12:39.922682
23731271,211757,722,11573,101,2020-10-06,3,0,2020-10-07 05:20:07.810177
23693921,211757,722,11573,101,2020-10-05,5,1,2020-10-06 05:14:24.446819
23540992,211757,722,11573,101,2020-09-30,2,0,2020-10-01 05:22:36.553797
23514913,211757,722,11573,101,2020-09-29,1,0,2020-09-30 05:36:54.171905
23472547,211757,722,11573,101,2020-09-28,2,0,2020-09-29 05:24:10.025491
23446443,211757,722,11573,101,2020-09-27,1,2,2020-09-28 05:34:50.189992
23383093,211757,722,11573,101,2020-09-25,1,0,2020-09-26 05:33:01.627234
23345254,211757,722,11573,101,2020-09-24,2,1,2020-09-25 05:23:57.375350
23279631,211757,722,11573,101,2020-09-22,1,0,2020-09-23 05:42:39.037340
23237202,211757,722,11573,101,2020-09-21,2,1,2020-09-22 05:27:52.617131
23149814,211757,722,11573,101,2020-09-19,3,0,2020-09-20 05:11:41.342367
23072206,211757,722,11573,101,2020-09-18,1,1,2020-09-19 05:44:59.400516
22965980,211757,722,11573,101,2020-09-17,2,0,2020-09-18 05:32:59.202538
22901498,211757,722,11573,101,2020-09-16,4,1,2020-09-17 05:15:11.204863
22872971,211757,722,11573,101,2020-09-15,2,0,2020-09-16 05:23:01.864784
22830341,211757,722,11573,101,2020-09-14,8,3,2020-09-15 05:11:13.655357
22802160,211757,722,11573,101,2020-09-13,3,1,2020-09-14 05:19:05.390415
22773190,211757,722,11573,101,2020-09-12,2,0,2020-09-13 05:22:04.443673
22741337,211757,722,11573,101,2020-09-11,2,1,2020-09-12 05:19:52.492339
