parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Sokker,Alpinsokker,category,/3228/3228031/i.36x75!m.jpg,695 produkter,Alpinsokker,Alpinsokker,/kategorier/alpinsokker,filter,Klær og sko>Undertøy>Sokker>Alpinsokker,1711025782649782273,13560,1472,Klær og sko,,Alpinsokker,13560,,false,2021-09-16T03:02:23.579Z,"Klær og sko,Undertøy,Sokker"
Skisko og støvler,Alpinstøvler,category,/2917/2917930/original.60x75!m.jpg,118 produkter,Alpinstøvler,Alpinstøvler,/kategorier/alpinstovler,products,Sport og friluftsliv>Vintersport>Skisko og støvler>Alpinstøvler,1711025782649782274,12062,1084,Sport og friluftsliv,"alpinsko,frikjøringsstøvler,slalomsko,slalomstøvler",Alpinstøvler,12062,"slalomsko,slalomstøvler,alpinsko,frikjøringsstøvler,frikjøringsstøvler",false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Vintersport,Skisko og støvler"
Gravideklær og mammaklær,Amme-BH,category,/3190/3190900/i.84x75!m.jpg,276 produkter,Amme-BH,Amme-BH,/kategorier/amme-bh,filter,Foreldre og barn>Ammeprodukter og mammautstyr>Gravideklær og mammaklær>Amme-BH,1711025782650830848,13384,1226,Foreldre og barn,,Amme-BH,13384,,false,2021-09-16T03:02:23.579Z,"Foreldre og barn,Ammeprodukter og mammautstyr,Gravideklær og mammaklær"
Ammeprodukter og mammautstyr,Ammeinnlegg og ammeskjold,category,/2989/2989046/original.78x75!m.jpg,54 produkter,Ammeinnlegg og ammeskjold,Ammeinnlegg og ammeskjold,/kategorier/ammeinnlegg-og-ammeskjold,products,Foreldre og barn>Ammeprodukter og mammautstyr>Ammeinnlegg og ammeskjold,1711025782650830849,12446,1081,Foreldre og barn,,Ammeinnlegg og ammeskjold,12446,,false,2021-09-16T03:02:23.579Z,"Foreldre og barn,Ammeprodukter og mammautstyr"
Foreldre og barn,Ammeprodukter og mammautstyr,category,/3253/3253214/i.126x75!m.jpg,566 produkter,Ammeprodukter og mammautstyr,Ammeprodukter og mammautstyr,/kategorier/ammeprodukter-og-mammautstyr,categories,Foreldre og barn>Ammeprodukter og mammautstyr,1711025782668656640,13650,3281,Foreldre og barn,,Ammeprodukter og mammautstyr,13650,,false,2021-09-16T03:02:23.579Z,Foreldre og barn
Ammeprodukter og mammautstyr,Ammepute og gravidpute,category,/3165/3165323/original.98x75!m.jpg,64 produkter,Ammepute og gravidpute,Ammepute og gravidpute,/kategorier/ammepute-og-gravidpute,products,Foreldre og barn>Ammeprodukter og mammautstyr>Ammepute og gravidpute,1711025782669705216,13293,1992,Foreldre og barn,,Ammepute og gravidpute,13293,,false,2021-09-16T03:02:23.579Z,"Foreldre og barn,Ammeprodukter og mammautstyr"
Sexleketøy,Analdusj,category,/3208/3208844/i.46x75!m.jpg,446 produkter,Analdusj,Analdusj,/kategorier/analdusj,filter,Skjønnhet og helse>Sex og lyst>Sexleketøy>Analdusj,1711025782669705217,13463,1356,Skjønnhet og helse,,Analdusj,13463,,true,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Sex og lyst,Sexleketøy"
Sexleketøy,Analkuler,category,/3208/3208839/i.48x75!m.jpg,446 produkter,Analkuler,Analkuler,/kategorier/analkuler,filter,Skjønnhet og helse>Sex og lyst>Sexleketøy>Analkuler,1711025782670753792,13461,1356,Skjønnhet og helse,,Analkuler,13461,,true,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Sex og lyst,Sexleketøy"
Tilbehør,Analog film,category,/3272/3272518/61qZ7GHz5aL._AC_SL1224_.60x75!m.jpg,65 produkter,Analog film,Analog film,/kategorier/analog-film,products,Foto og video>Tilbehør>Analog film,1711025782670753793,13746,1104,Foto og video,,Analog film,13746,,false,2021-09-16T03:02:23.579Z,"Foto og video,Tilbehør"
Sportsbeskyttelse,Ankelbeskytter,category,/3189/3189150/original.48x75!m.jpg,26 produkter,Ankelbeskytter,Ankelbeskytter,/kategorier/ankelbeskytter,products,Sport og friluftsliv>Sportsutstyr>Sportsbeskyttelse>Ankelbeskytter,1711025782670753794,13378,1017,Sport og friluftsliv,,Ankelbeskytter,13378,,false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Sportsutstyr,Sportsbeskyttelse"
Sokker,Ankelsokker,category,/3228/3228266/i.92x75!m.jpg,695 produkter,Ankelsokker,Ankelsokker,/kategorier/ankelsokker,filter,Klær og sko>Undertøy>Sokker>Ankelsokker,1711025782671802368,13561,1472,Klær og sko,,Ankelsokker,13561,,false,2021-09-16T03:02:23.579Z,"Klær og sko,Undertøy,Sokker"
Treningsutstyr,Ankelvekt,category,/3210/3210832/i.66x75!m.png,27 produkter,Ankelvekt,Ankelvekt,/kategorier/ankelvekt,products,Sport og friluftsliv>Trening>Treningsutstyr>Ankelvekt,1711025782671802369,13470,1031,Sport og friluftsliv,,Ankelvekt,13470,,false,2021-09-16T03:02:23.579Z,"Sport og friluftsliv,Trening,Treningsutstyr"
Hage og utemiljø,Anneks og lysthus,category,/3104/3104709/749759_pb.128x75!m.jpg,46 produkter,Anneks og lysthus,Anneks og lysthus,/kategorier/anneks-og-lysthus,products,Hage og utemiljø>Anneks og lysthus,1711025782672850944,12957,1061,Hage og utemiljø,,Anneks og lysthus,12957,,false,2021-09-16T03:02:23.579Z,Hage og utemiljø
