date,cat_id,product_id,root_cat_id,hits,clicks,popularity,cat_name
2019-06-28,11573,424805,202,11,0,2394,Nettverkskabler
2019-06-29,11091,241400,101,2,0,5732,3D-printer
2019-06-29,11573,424805,202,14,0,2394,Nettverkskabler
2019-06-30,11573,424805,202,9,0,2394,Nettverkskabler
2019-07-01,11573,424805,202,10,2,2394,Nettverkskabler
2019-07-02,33,311569,101,4,0,10035,Tastatur
2019-07-02,11091,241400,101,1,0,5732,3D-printer
2019-07-02,11573,424805,202,10,2,2394,Nettverkskabler
2019-07-03,11091,241400,101,1,0,5732,3D-printer
2019-07-03,11573,424805,202,7,2,2394,Nettverkskabler
2019-07-04,11091,241400,101,1,0,5732,3D-printer
2019-07-04,11573,424805,202,5,0,2394,Nettverkskabler
2019-07-05,11091,241400,101,3,0,5732,3D-printer
2019-07-05,11573,424805,202,10,1,2394,Nettverkskabler
2019-07-06,11091,241400,101,1,0,5732,3D-printer
2019-07-06,11573,424805,202,14,2,2394,Nettverkskabler
2019-07-07,11573,424805,202,6,0,2394,Nettverkskabler
2019-07-08,11091,241400,101,1,0,5732,3D-printer
2019-07-08,11573,424805,202,5,2,2394,Nettverkskabler
2019-07-09,11573,424805,202,4,2,2394,Nettverkskabler
2019-07-10,11091,241400,101,1,0,5732,3D-printer
2019-07-10,11573,213048,101,2,0,1197,Nettverkskabler
2019-07-11,11573,424805,202,8,2,2394,Nettverkskabler
2019-07-12,11573,424805,202,8,2,2394,Nettverkskabler
2019-07-13,11091,241400,101,1,0,5732,3D-printer
2019-07-13,11573,424805,202,6,0,2394,Nettverkskabler
2019-07-14,11573,424805,202,7,0,2394,Nettverkskabler
2019-07-15,11573,424805,202,2,0,2394,Nettverkskabler
2019-07-16,11091,241400,101,2,0,5732,3D-printer
2019-07-16,11573,424805,202,11,3,2394,Nettverkskabler
2019-07-17,11091,241400,101,2,0,5732,3D-printer
2019-07-17,11573,424805,202,7,0,2394,Nettverkskabler
2019-07-18,11091,241400,101,1,0,5732,3D-printer
2019-07-18,11573,424805,202,4,1,2394,Nettverkskabler
2019-07-19,11573,424805,202,4,0,2394,Nettverkskabler
2019-07-20,11091,241400,101,2,0,5732,3D-printer
2019-07-20,11573,424805,202,6,0,2394,Nettverkskabler
2019-07-21,11573,424805,202,4,0,2394,Nettverkskabler
2019-07-22,11091,241400,101,1,0,5732,3D-printer
2019-07-22,11573,424805,202,9,3,2394,Nettverkskabler
2019-07-23,11573,424805,202,4,0,2394,Nettverkskabler
2019-07-24,11573,213048,101,1,0,1197,Nettverkskabler
2019-07-25,11573,424805,202,3,0,2394,Nettverkskabler
2019-07-26,11091,241400,101,1,0,5732,3D-printer
2019-07-26,11573,424805,202,4,0,2394,Nettverkskabler
2019-07-27,11091,241400,101,1,0,5732,3D-printer
2019-07-27,11573,424805,202,11,3,2394,Nettverkskabler
2019-07-28,11091,241400,101,2,0,5732,3D-printer
2019-07-28,11573,424805,202,10,0,2394,Nettverkskabler
2019-07-29,11091,241400,101,2,2,5732,3D-printer
2019-07-29,11573,424805,202,11,0,2394,Nettverkskabler
2019-07-30,11091,241400,101,1,0,5732,3D-printer
2019-07-30,11573,424805,202,5,4,2394,Nettverkskabler
2019-07-31,11091,241400,101,2,0,5732,3D-printer
2019-07-31,11573,424805,202,4,0,2394,Nettverkskabler
2019-08-01,11573,424805,202,6,2,2394,Nettverkskabler
2019-08-02,11573,424805,202,6,0,2394,Nettverkskabler
2019-08-03,11573,424805,202,8,0,2394,Nettverkskabler
2019-08-04,11091,241400,101,1,0,5732,3D-printer
2019-08-04,11573,424805,202,5,0,2394,Nettverkskabler
2019-08-05,11091,241400,101,1,0,5732,3D-printer
2019-08-05,11573,424805,202,14,0,2394,Nettverkskabler
2019-08-06,11091,241400,101,1,0,5732,3D-printer
2019-08-06,11573,424805,202,17,2,2394,Nettverkskabler
2019-08-07,11573,424805,202,18,0,2394,Nettverkskabler
2019-08-08,11091,241400,101,4,0,5732,3D-printer
2019-08-08,11573,424805,202,6,1,2394,Nettverkskabler
2019-08-09,11573,424805,202,5,0,2394,Nettverkskabler
2019-08-10,11091,241400,101,1,0,5732,3D-printer
2019-08-10,11573,424805,202,7,2,2394,Nettverkskabler
2019-08-11,11091,241400,101,1,0,5732,3D-printer
2019-08-11,11573,424805,202,12,0,2394,Nettverkskabler
2019-08-12,11091,241400,101,2,0,5732,3D-printer
2019-08-12,11573,424805,202,10,0,2394,Nettverkskabler
2019-08-13,11091,241400,101,1,0,5732,3D-printer
2019-08-13,11573,424805,202,14,3,2394,Nettverkskabler
2019-08-14,11573,424805,202,6,0,2394,Nettverkskabler
2019-08-15,11091,241400,101,1,0,5732,3D-printer
2019-08-15,11573,424805,202,3,0,2394,Nettverkskabler
2019-08-16,11573,211757,101,4,3,1197,Nettverkskabler
2019-08-17,11573,424805,202,4,0,2394,Nettverkskabler
2019-08-18,11573,424805,202,6,0,2394,Nettverkskabler
2019-08-19,11573,424805,202,11,1,2394,Nettverkskabler
2019-08-20,11091,241400,101,1,0,5732,3D-printer
2019-08-20,11573,424805,202,10,0,2394,Nettverkskabler
2019-08-21,11573,424805,202,15,0,2394,Nettverkskabler
2019-08-22,11573,424805,202,12,2,2394,Nettverkskabler
2019-08-23,11091,241400,101,2,0,5732,3D-printer
2019-08-23,11573,211757,101,2,0,1197,Nettverkskabler
2019-08-24,11091,241400,101,1,0,5732,3D-printer
2019-08-24,11573,213048,101,5,0,1197,Nettverkskabler
2019-08-25,11573,424805,202,13,4,2394,Nettverkskabler
2019-08-26,11091,241400,101,2,0,5732,3D-printer
2019-08-26,11573,424805,202,10,2,2394,Nettverkskabler
2019-08-27,11573,424805,202,7,0,2394,Nettverkskabler
2019-08-28,11573,424805,202,13,1,2394,Nettverkskabler
2019-08-29,11091,241400,101,1,0,5732,3D-printer
2019-08-29,11573,424805,202,10,1,2394,Nettverkskabler
2019-08-30,11573,424805,202,6,0,2394,Nettverkskabler
2019-08-31,11573,424805,202,4,1,2394,Nettverkskabler
2019-09-01,11573,424805,202,2,0,2394,Nettverkskabler
2019-09-02,11573,424805,202,7,3,2394,Nettverkskabler
2019-09-03,33,311569,101,1,0,10035,Tastatur
2019-09-03,11573,424805,202,7,0,2394,Nettverkskabler
2019-09-04,11573,424805,202,11,0,2394,Nettverkskabler
2019-09-05,11573,424805,202,2,0,2394,Nettverkskabler
2019-09-06,11573,424805,202,6,3,2394,Nettverkskabler
2019-09-07,11573,424805,202,3,1,2394,Nettverkskabler
2019-09-08,11573,424805,202,7,5,2394,Nettverkskabler
2019-09-09,11573,424805,202,10,2,2394,Nettverkskabler
2019-09-10,11573,211757,101,4,0,1197,Nettverkskabler
2019-09-11,11573,213048,101,3,0,1197,Nettverkskabler
2019-09-12,11573,424805,202,3,0,2394,Nettverkskabler
2019-09-13,11573,424805,202,3,2,2394,Nettverkskabler
2019-09-14,11573,213048,101,1,2,1197,Nettverkskabler
2019-09-15,11573,424805,202,4,1,2394,Nettverkskabler
2019-09-16,33,311569,101,1,1,10035,Tastatur
2019-09-16,11573,213048,101,2,1,1197,Nettverkskabler
2019-09-17,11573,424805,202,9,2,2394,Nettverkskabler
2019-09-18,11573,211757,101,4,2,1197,Nettverkskabler
2019-09-19,11573,211757,101,2,1,1197,Nettverkskabler
2019-09-20,11573,424805,202,7,2,2394,Nettverkskabler
2019-09-21,11573,211757,101,2,0,1197,Nettverkskabler
2019-09-22,11573,424805,202,3,1,2394,Nettverkskabler
2019-09-23,11573,211757,101,5,1,1197,Nettverkskabler
2019-09-24,11573,424805,202,3,0,2394,Nettverkskabler
2019-09-25,11573,424805,202,2,0,2394,Nettverkskabler
2019-09-26,11573,424805,202,3,1,2394,Nettverkskabler
2019-09-27,11573,424805,202,4,2,2394,Nettverkskabler
2019-09-28,11573,213048,101,1,0,1197,Nettverkskabler
2019-09-29,11573,424805,202,5,3,2394,Nettverkskabler
2019-09-30,11573,424805,202,3,2,2394,Nettverkskabler
2019-10-01,11573,424805,202,7,2,2394,Nettverkskabler
2019-10-02,11573,424805,202,3,2,2394,Nettverkskabler
2019-10-03,11573,211757,101,2,3,1197,Nettverkskabler
2019-10-05,11573,211757,101,1,1,1197,Nettverkskabler
2019-10-07,11573,213048,101,1,1,1197,Nettverkskabler
2019-10-08,11573,424805,202,5,1,2394,Nettverkskabler
2019-10-09,11573,211757,101,3,0,1197,Nettverkskabler
2019-10-10,11573,424805,202,3,0,2394,Nettverkskabler
2019-10-11,11573,424805,202,10,5,2394,Nettverkskabler
2019-10-12,11573,424805,202,2,0,2394,Nettverkskabler
2019-10-13,11091,241400,101,2,0,5732,3D-printer
2019-10-13,11573,213048,101,1,0,1197,Nettverkskabler
2019-10-14,11573,211757,101,2,1,1197,Nettverkskabler
2019-10-15,11573,424805,202,2,1,2394,Nettverkskabler
2019-10-16,11573,211757,101,1,0,1197,Nettverkskabler
2019-10-17,11091,241400,101,1,0,5732,3D-printer
2019-10-17,11573,213048,101,2,0,1197,Nettverkskabler
2019-10-18,11573,211757,101,2,0,1197,Nettverkskabler
2019-10-19,11573,424805,202,3,0,2394,Nettverkskabler
2019-10-20,11573,424805,202,4,2,2394,Nettverkskabler
2019-10-21,11573,213048,101,2,0,1197,Nettverkskabler
2019-10-22,11573,424805,202,6,1,2394,Nettverkskabler
2019-10-23,11573,424805,202,4,2,2394,Nettverkskabler
2019-10-24,11573,424805,202,5,0,2394,Nettverkskabler
2019-10-25,11573,424805,202,3,0,2394,Nettverkskabler
2019-10-27,11573,211757,101,1,1,1197,Nettverkskabler
